DESTINATION,COMMERCIAL FLAG,CITY,REGION,COUNTRY,FLIGH DIRECTION,FLIGHT TYPE,DATE,DATE YEAR,DATE HALF YEAR,DATE YEAR QUARTER,DATE YEAR MONTH,NBR OF PASSENGERS,CARGO WEIGHT,NBR OF FLIGHTS,SEAT CAPACITY
Abu Dhabi/Al Dhafra,Commercial,Abu Dhabi,,United Arab Emirates,Incoming,Non Scheduled,2008.09.01,2008,2008H2,2008Q3,200809,0,0,1,0
Abu Dhabi/Al Dhafra,Commercial,Abu Dhabi,,United Arab Emirates,Incoming,Non Scheduled,2008.05.01,2008,2008H1,2008Q2,200805,0,0,1,0
Adana,Commercial,Adana,,Turkey,Incoming,Non Scheduled,2008.08.01,2008,2008H2,2008Q3,200808,0,0,1,0
Adana,Commercial,Adana,,Turkey,Outgoing,Non Scheduled,2008.08.01,2008,2008H2,2008Q3,200808,0,0,1,0
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2012.03.01,2012,2012H1,2012Q1,201203,146,0,1,180
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2011.08.01,2011,2011H2,2011Q3,201108,345,0,2,360
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2009.11.01,2009,2009H2,2009Q4,200911,169,0,1,184
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2010.08.01,2010,2010H2,2010Q3,201008,158,0,1,180
Agadir,Commercial,Agadir,,Morocco,Outgoing,Scheduled,2007.08.01,2007,2007H2,2007Q3,200708,91,0,1,112
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2011.09.01,2011,2011H2,2011Q3,201109,155,0,1,180
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2007.01.01,2007,2007H1,2007Q1,200701,376,0,3,540
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2007.10.01,2007,2007H2,2007Q4,200710,636,0,5,686
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2008.06.01,2008,2008H1,2008Q2,200806,88,0,1,112
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2007.11.01,2007,2007H2,2007Q4,200711,179,0,1,180
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2008.09.01,2008,2008H2,2008Q3,200809,316,0,4,484
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2009.07.01,2009,2009H2,2009Q3,200907,627,0,4,672
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2009.08.01,2009,2009H2,2009Q3,200908,657,0,4,672
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2009.09.01,2009,2009H2,2009Q3,200909,267,0,2,368
Agadir,Commercial,Agadir,,Morocco,Incoming,Scheduled,2007.09.01,2007,2007H2,2007Q3,200709,90,0,1,112
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2012.03.01,2012,2012H1,2012Q1,201203,145,0,1,180
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2007.11.01,2007,2007H2,2007Q4,200711,0,0,1,180
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2008.08.01,2008,2008H2,2008Q3,200808,411,0,5,557
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2009.08.01,2009,2009H2,2009Q3,200908,281,0,2,336
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2010.08.01,2010,2010H2,2010Q3,201008,164,0,1,180
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2007.10.01,2007,2007H2,2007Q4,200710,569,0,5,686
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2007.09.01,2007,2007H2,2007Q3,200709,284,0,3,306
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2008.08.01,2008,2008H2,2008Q3,200808,418,0,5,557
Agadir,Commercial,Agadir,,Morocco,Incoming,Scheduled,2007.01.01,2007,2007H1,2007Q1,200701,124,0,1,180
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2011.10.01,2011,2011H2,2011Q4,201110,160,0,1,168
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2007.02.01,2007,2007H1,2007Q1,200702,0,0,1,183
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2008.09.01,2008,2008H2,2008Q3,200809,337,0,4,484
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2008.11.01,2008,2008H2,2008Q4,200811,0,0,1,180
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2008.07.01,2008,2008H2,2008Q3,200807,330,0,4,514
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2008.10.01,2008,2008H2,2008Q4,200810,517,0,4,598
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2010.10.01,2010,2010H2,2010Q4,201010,707,0,5,840
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2010.07.01,2010,2010H2,2010Q3,201007,164,0,1,168
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2007.06.01,2007,2007H1,2007Q2,200706,0,0,1,119
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2007.02.01,2007,2007H1,2007Q1,200702,169,0,1,183
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2007.08.01,2007,2007H2,2007Q3,200708,373,0,4,418
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2008.11.01,2008,2008H2,2008Q4,200811,179,0,1,180
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2008.07.01,2008,2008H2,2008Q3,200807,324,0,4,514
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2010.07.01,2010,2010H2,2010Q3,201007,660,0,4,720
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2010.10.01,2010,2010H2,2010Q4,201010,735,0,5,840
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2011.07.01,2011,2011H2,2011Q3,201107,325,0,2,360
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2007.09.01,2007,2007H2,2007Q3,200709,277,0,3,306
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2009.09.01,2009,2009H2,2009Q3,200909,252,0,2,368
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2007.07.01,2007,2007H2,2007Q3,200707,263,0,3,326
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2008.06.01,2008,2008H1,2008Q2,200806,0,0,1,112
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2009.10.01,2009,2009H2,2009Q4,200910,461,0,4,736
Agadir,Commercial,Agadir,,Morocco,Outgoing,Scheduled,2007.01.01,2007,2007H1,2007Q1,200701,137,0,1,183
Agadir,Commercial,Agadir,,Morocco,Incoming,Scheduled,2007.07.01,2007,2007H2,2007Q3,200707,198,0,2,214
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2011.08.01,2011,2011H2,2011Q3,201108,660,0,4,720
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2007.06.01,2007,2007H1,2007Q2,200706,102,0,1,119
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2007.08.01,2007,2007H2,2007Q3,200708,283,0,3,306
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2010.09.01,2010,2010H2,2010Q3,201009,375,0,3,504
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2011.09.01,2011,2011H2,2011Q3,201109,574,0,4,720
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2011.07.01,2011,2011H2,2011Q3,201107,506,0,3,540
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2008.10.01,2008,2008H2,2008Q4,200810,447,0,4,598
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2007.07.01,2007,2007H2,2007Q3,200707,277,0,3,326
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2009.10.01,2009,2009H2,2009Q4,200910,501,0,5,920
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2009.07.01,2009,2009H2,2009Q3,200907,212,0,2,336
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2007.01.01,2007,2007H1,2007Q1,200701,159,0,1,183
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2010.11.01,2010,2010H2,2010Q4,201011,163,0,1,180
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2010.09.01,2010,2010H2,2010Q3,201009,508,0,4,672
Agadir,Commercial,Agadir,,Morocco,Outgoing,Scheduled,2007.09.01,2007,2007H2,2007Q3,200709,100,0,1,112
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2009.06.01,2009,2009H1,2009Q2,200906,176,0,1,176
Agadir,Commercial,Agadir,,Morocco,Outgoing,Non Scheduled,2010.11.01,2010,2010H2,2010Q4,201011,0,0,1,180
Agadir,Commercial,Agadir,,Morocco,Incoming,Non Scheduled,2011.10.01,2011,2011H2,2011Q4,201110,313,0,2,336
Agadir,Commercial,Agadir,,Morocco,Outgoing,Scheduled,2007.07.01,2007,2007H2,2007Q3,200707,195,0,2,214
Ahmedabad,Commercial,Ahmedabad,India VA,India,Incoming,Non Scheduled,2007.01.01,2007,2007H1,2007Q1,200701,0,0,1,189
Ai Udeid,Commercial,Ai Udeid,,Katar,Incoming,Non Scheduled,2008.10.01,2008,2008H2,2008Q4,200810,0,0,2,490
Ai Udeid,Commercial,Ai Udeid,,Katar,Outgoing,Non Scheduled,2008.05.01,2008,2008H1,2008Q2,200805,0,0,2,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Outgoing,Non Scheduled,2008.11.01,2008,2008H2,2008Q4,200811,0,0,2,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Incoming,Non Scheduled,2008.12.01,2008,2008H2,2008Q4,200812,0,0,2,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Incoming,Non Scheduled,2008.07.01,2008,2008H2,2008Q3,200807,0,0,1,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Outgoing,Non Scheduled,2008.10.01,2008,2008H2,2008Q4,200810,0,0,2,490
Ai Udeid,Commercial,Ai Udeid,,Katar,Incoming,Non Scheduled,2008.08.01,2008,2008H2,2008Q3,200808,0,0,3,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Incoming,Non Scheduled,2008.09.01,2008,2008H2,2008Q3,200809,0,0,5,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Outgoing,Non Scheduled,2008.06.01,2008,2008H1,2008Q2,200806,0,0,1,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Outgoing,Non Scheduled,2008.08.01,2008,2008H2,2008Q3,200808,0,0,1,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Incoming,Non Scheduled,2008.05.01,2008,2008H1,2008Q2,200805,0,0,1,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Outgoing,Non Scheduled,2008.12.01,2008,2008H2,2008Q4,200812,0,0,1,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Outgoing,Non Scheduled,2008.07.01,2008,2008H2,2008Q3,200807,0,0,3,0
Ai Udeid,Commercial,Ai Udeid,,Katar,Outgoing,Non Scheduled,2008.09.01,2008,2008H2,2008Q3,200809,0,0,7,0
Akita,Commercial,Akita,Japan RJ,Japan,Incoming,Non Scheduled,2007.07.01,2007,2007H2,2007Q3,200707,110,0,1,185
Akita,Commercial,Akita,Japan RJ,Japan,Outgoing,Non Scheduled,2007.10.01,2007,2007H2,2007Q4,200710,160,0,1,185
Akita,Commercial,Akita,Japan RJ,Japan,Outgoing,Scheduled,2007.07.01,2007,2007H2,2007Q3,200707,180,0,1,185
Akita,Commercial,Akita,Japan RJ,Japan,Incoming,Non Scheduled,2007.10.01,2007,2007H2,2007Q4,200710,92,0,1,185
Aktyubinsk,Commercial,Aktyubinsk,,Kazahstan,Incoming,Non Scheduled,2011.07.01,2011,2011H2,2011Q3,201107,58,0,1,100
Aktyubinsk,Commercial,Aktyubinsk,,Kazahstan,Outgoing,Non Scheduled,2011.07.01,2011,2011H2,2011Q3,201107,58,0,1,100
Alderney Blaye,Commercial,Alderney Blaye,,United Kingdom,Outgoing,Non Scheduled,2010.07.01,2010,2010H2,2010Q3,201007,0,0,1,0
Alesund,Commercial,Alesund,,Norway,Incoming,Non Scheduled,2011.07.01,2011,2011H2,2011Q3,201107,73,0,1,140
Alesund,Commercial,Alesund,,Norway,Outgoing,Non Scheduled,2011.07.01,2011,2011H2,2011Q3,201107,74,0,1,100
Alexandropolis,Commercial,Alexandropolis,,Greece,Outgoing,Non Scheduled,2007.09.01,2007,2007H2,2007Q3,200709,0,0,1,170
Alexandropolis,Commercial,Alexandropolis,,Greece,Incoming,Non Scheduled,2008.11.01,2008,2008H2,2008Q4,200811,0,0,1,189
Al-Fujairah,Commercial,Al-Fujairah,,United Arab Emirates,Outgoing,Non Scheduled,2008.08.01,2008,2008H2,2008Q3,200808,0,0,1,0
Al-Fujairah,Commercial,Al-Fujairah,,United Arab Emirates,Incoming,Non Scheduled,2008.08.01,2008,2008H2,2008Q3,200808,0,0,2,0
Al-Fujairah,Commercial,Al-Fujairah,,United Arab Emirates,Incoming,Non Scheduled,2009.10.01,2009,2009H2,2009Q4,200910,0,0,1,211
Alghero,Commercial,Alghero,,Italy,Incoming,Non Scheduled,2009.06.01,2009,2009H1,2009Q2,200906,0,0,1,0
Alghero,Commercial,Alghero,,Italy,Incoming,Non Scheduled,2011.07.01,2011,2011H2,2011Q3,201107,0,0,1,0
Alghero,Commercial,Alghero,,Italy,Outgoing,Non Scheduled,2008.09.01,2008,2008H2,2008Q3,200809,0,0,1,0
Alghero,Commercial,Alghero,,Italy,Outgoing,Non Scheduled,2008.08.01,2008,2008H2,2008Q3,200808,0,0,1,0
Alghero,Commercial,Alghero,,Italy,Incoming,Non Scheduled,2010.10.01,2010,2010H2,2010Q4,201010,0,0,1,0
Alicante,Commercial,Alicante,Spain LE,Spain,Incoming,Scheduled,2012.04.01,2012,2012H1,2012Q2,201204,1192,0,9,1701
Alicante,Commercial,Alicante,Spain LE,Spain,Incoming,Scheduled,2012.06.01,2012,2012H1,2012Q2,201206,1271,0,9,1701
Alicante,Commercial,Alicante,Spain LE,Spain,Outgoing,Scheduled,2012.06.01,2012,2012H1,2012Q2,201206,1437,0,9,1701
Alicante,Commercial,Alicante,Spain LE,Spain,Outgoing,Non Scheduled,2012.05.01,2012,2012H1,2012Q2,201205,49,0,1,50
Alicante,Commercial,Alicante,Spain LE,Spain,Outgoing,Scheduled,2012.03.01,2012,2012H1,2012Q1,201203,151,0,2,378
Alicante,Commercial,Alicante,Spain LE,Spain,Outgoing,Non Scheduled,2011.05.01,2011,2011H1,2011Q2,201105,96,0,1,121
Alicante,Commercial,Alicante,Spain LE,Spain,Incoming,Non Scheduled,2011.05.01,2011,2011H1,2011Q2,201105,96,0,1,121
Alicante,Commercial,Alicante,Spain LE,Spain,Incoming,Non Scheduled,2012.05.01,2012,2012H1,2012Q2,201205,49,0,1,50
Alicante,Commercial,Alicante,Spain LE,Spain,Outgoing,Scheduled,2012.04.01,2012,2012H1,2012Q2,201204,1300,0,9,1701
Alicante,Commercial,Alicante,Spain LE,Spain,Incoming,Scheduled,2012.05.01,2012,2012H1,2012Q2,201205,1018,0,8,1512
Alicante,Commercial,Alicante,Spain LE,Spain,Outgoing,Non Scheduled,2008.03.01,2008,2008H1,2008Q1,200803,161,0,1,170
Alicante,Commercial,Alicante,Spain LE,Spain,Incoming,Non Scheduled,2008.03.01,2008,2008H1,2008Q1,200803,160,0,1,189
Alicante,Commercial,Alicante,Spain LE,Spain,Outgoing,Scheduled,2012.05.01,2012,2012H1,2012Q2,201205,1099,0,8,1512
Alicante,Commercial,Alicante,Spain LE,Spain,Incoming,Scheduled,2012.03.01,2012,2012H1,2012Q1,201203,157,0,3,567
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,2007.12.01,2007,2007H2,2007Q4,200712,0,75877,1,121
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,2008.09.01,2008,2008H2,2008Q3,200809,0,64973,1,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,2011.01.01,2011,2011H1,2011Q1,201101,0,240980,15,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Non Scheduled,2010.12.01,2010,2010H2,2010Q4,201012,0,167969,3,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Non Scheduled,2010.05.01,2010,2010H1,2010Q2,201005,0,84571,3,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,2008.08.01,2008,2008H2,2008Q3,200808,0,84641,1,0
Almaty,Commercial,Almaty,,Kazahstan,Outgoing,Scheduled,2010.06.01,2010,2010H1,2010Q2,201006,0,0,1,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,2008.04.01,2008,2008H1,2008Q2,200804,0,219163,3,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,2010.07.01,2010,2010H2,2010Q3,201007,0,57455,2,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Non Scheduled,2011.06.01,2011,2011H1,2011Q2,201106,0,0,1,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Non Scheduled,2011.03.01,2011,2011H1,2011Q1,201103,0,0,1,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,2011.02.01,2011,2011H1,2011Q1,201102,0,69393,1,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,2008.12.01,2008,2008H2,2008Q4,200812,0,56446,2,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Non Scheduled,2011.05.01,2011,2011H1,2011Q2,201105,0,0,1,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,2010.06.01,2010,2010H1,2010Q2,201006,0,163509,4,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Non Scheduled,2011.02.01,2011,2011H1,2011Q1,201102,103,0,1,160
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Non Scheduled,2010.06.01,2010,2010H1,2010Q2,201006,0,0,2,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,2008.06.01,2008,2008H1,2008Q2,200806,0,94592,1,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,2009.01.01,2009,2009H1,2009Q1,200901,0,121544,2,0
Almaty,Commercial,Almaty,,Kazahstan,Incoming,Scheduled,2010.10.01,2010,2010H2,2010Q4,201010,0,0,1,0
Almeria,Commercial,Almeria,Spain LE,Spain,Outgoing,Non Scheduled,2007.03.01,2007,2007H1,2007Q1,200703,106,0,1,145
Almeria,Commercial,Almeria,Spain LE,Spain,Outgoing,Non Scheduled,2012.02.01,2012,2012H1,2012Q1,201202,175,0,1,180
Almeria,Commercial,Almeria,Spain LE,Spain,Outgoing,Non Scheduled,2011.03.01,2011,2011H1,2011Q1,201103,174,0,1,189
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Non Scheduled,2007.11.01,2007,2007H2,2007Q4,200711,0,0,1,0
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2011.12.01,2011,2011H2,2011Q4,201112,1247,8390,13,1549
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2011.05.01,2011,2011H1,2011Q2,201105,477,5107,10,1174
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2007.09.01,2007,2007H2,2007Q3,200709,438,0,9,450
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2009.01.01,2009,2009H1,2009Q1,200901,237,0,8,770
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2009.07.01,2009,2009H2,2009Q3,200907,918,0,9,1111
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2009.12.01,2009,2009H2,2009Q4,200912,384,0,6,852
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2010.05.01,2010,2010H1,2010Q2,201005,531,0,9,1135
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2012.02.01,2012,2012H1,2012Q1,201202,72,3429,1,168
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2011.08.01,2011,2011H2,2011Q3,201108,1559,10631,18,2118
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2008.11.01,2008,2008H2,2008Q4,200811,536,0,9,860
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2009.07.01,2009,2009H2,2009Q3,200907,710,0,9,1111
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2009.12.01,2009,2009H2,2009Q4,200912,328,0,6,852
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2010.07.01,2010,2010H2,2010Q3,201007,1190,0,14,1669
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2010.09.01,2010,2010H2,2010Q3,201009,1150,0,13,1572
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2010.05.01,2010,2010H1,2010Q2,201005,679,0,10,1303
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2011.09.01,2011,2011H2,2011Q3,201109,1049,18909,18,2296
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2008.06.01,2008,2008H1,2008Q2,200806,630,0,9,900
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2008.11.01,2008,2008H2,2008Q4,200811,408,0,9,860
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2009.05.01,2009,2009H1,2009Q2,200905,399,0,10,910
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2009.08.01,2009,2009H2,2009Q3,200908,452,0,8,896
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2009.10.01,2009,2009H2,2009Q4,200910,817,0,9,1155
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2010.04.01,2010,2010H1,2010Q2,201004,496,0,8,1203
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2008.12.01,2008,2008H2,2008Q4,200812,373,0,9,890
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2009.06.01,2009,2009H1,2009Q2,200906,306,0,8,872
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2010.12.01,2010,2010H2,2010Q4,201012,674,0,11,1330
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2010.01.01,2010,2010H1,2010Q1,201001,426,0,7,858
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2008.04.01,2008,2008H1,2008Q2,200804,583,0,8,800
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2008.12.01,2008,2008H2,2008Q4,200812,404,0,9,890
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2010.11.01,2010,2010H2,2010Q4,201011,864,0,13,1678
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2010.06.01,2010,2010H1,2010Q2,201006,788,0,12,1356
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2011.06.01,2011,2011H1,2011Q2,201106,869,3567,15,2227
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2007.03.01,2007,2007H1,2007Q1,200703,26,0,1,190
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2008.08.01,2008,2008H2,2008Q3,200808,841,0,10,1000
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2010.11.01,2010,2010H2,2010Q4,201011,1178,0,13,1725
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2010.03.01,2010,2010H1,2010Q1,201003,509,0,9,1135
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2010.02.01,2010,2010H1,2010Q1,201002,383,0,6,761
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2007.11.01,2007,2007H2,2007Q4,200711,474,0,9,900
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2008.02.01,2008,2008H1,2008Q1,200802,353,0,9,900
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2009.09.01,2009,2009H2,2009Q3,200909,576,0,10,1148
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2010.09.01,2010,2010H2,2010Q3,201009,751,0,13,1560
Amman/Queen Alia,Commercial,Amman,,Jordan,Outgoing,Scheduled,2010.02.01,2010,2010H1,2010Q1,201002,304,0,6,761
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2011.09.01,2011,2011H2,2011Q3,201109,1372,3803,17,2116
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2011.03.01,2011,2011H1,2011Q1,201103,990,7787,13,1702
Amman/Queen Alia,Commercial,Amman,,Jordan,Incoming,Scheduled,2009.01.01,2009,2009H1,2009Q1,200901,420,0,8,770
